"Index","AUROC","District","Month_of_issue","Category","Skill"
"SPI ON",0.32,"Marara","08","Severo","Poor"
"SPI ND",0.57,"Marara","08","Severo","Borderline"
"SPI DJ",0.3,"Marara","08","Severo","Poor"
"SPI JF",0.85,"Marara","08","Severo","Good"
"SPI OND",0.65,"Marara","08","Severo","Moderate"
"SPI NDJ",0.45,"Marara","08","Severo","Poor"
"SPI DJF",0.83,"Marara","08","Severo","Good"
"SPI ON",0.31,"Marara","08","Moderado","Poor"
"SPI ND",0.58,"Marara","08","Moderado","Borderline"
"SPI DJ",0.26,"Marara","08","Moderado","Poor"
"SPI JF",0.89,"Marara","08","Moderado","Good"
"SPI OND",0.61,"Marara","08","Moderado","Moderate"
"SPI NDJ",0.35,"Marara","08","Moderado","Poor"
"SPI DJF",0.82,"Marara","08","Moderado","Good"
"SPI ON",0.35,"Marara","08","Leve","Poor"
"SPI ND",0.47,"Marara","08","Leve","Poor"
"SPI DJ",0.27,"Marara","08","Leve","Poor"
"SPI JF",0.74,"Marara","08","Leve","Moderate"
"SPI OND",0.51,"Marara","08","Leve","Borderline"
"SPI NDJ",0.54,"Marara","08","Leve","Borderline"
"SPI DJF",0.89,"Marara","08","Leve","Good"
"SPI ON",0.44,"Marara","09","Severo","Poor"
"SPI ND",0.55,"Marara","09","Severo","Borderline"
"SPI DJ",0.76,"Marara","09","Severo","Moderate"
"SPI JF",0.51,"Marara","09","Severo","Borderline"
"SPI FM",0.27,"Marara","09","Severo","Poor"
"SPI OND",0.67,"Marara","09","Severo","Moderate"
"SPI NDJ",0.66,"Marara","09","Severo","Moderate"
"SPI DJF",0.65,"Marara","09","Severo","Moderate"
"SPI JFM",0.48,"Marara","09","Severo","Poor"
"SPI ON",0.36,"Marara","09","Moderado","Poor"
"SPI ND",0.39,"Marara","09","Moderado","Poor"
"SPI DJ",0.79,"Marara","09","Moderado","Moderate"
"SPI JF",0.61,"Marara","09","Moderado","Moderate"
"SPI FM",0.28,"Marara","09","Moderado","Poor"
"SPI OND",0.49,"Marara","09","Moderado","Poor"
"SPI NDJ",0.68,"Marara","09","Moderado","Moderate"
"SPI DJF",0.66,"Marara","09","Moderado","Moderate"
"SPI JFM",0.53,"Marara","09","Moderado","Borderline"
"SPI ON",0.34,"Marara","09","Leve","Poor"
"SPI ND",0.38,"Marara","09","Leve","Poor"
"SPI DJ",0.81,"Marara","09","Leve","Good"
"SPI JF",0.56,"Marara","09","Leve","Borderline"
"SPI FM",0.29,"Marara","09","Leve","Poor"
"SPI OND",0.33,"Marara","09","Leve","Poor"
"SPI NDJ",0.74,"Marara","09","Leve","Moderate"
"SPI DJF",0.65,"Marara","09","Leve","Moderate"
"SPI JFM",0.5,"Marara","09","Leve","Poor"
"SPI ON",0.23,"Marara","10","Severo","Poor"
"SPI ND",0.28,"Marara","10","Severo","Poor"
"SPI DJ",0.75,"Marara","10","Severo","Moderate"
"SPI JF",0.43,"Marara","10","Severo","Poor"
"SPI FM",0.29,"Marara","10","Severo","Poor"
"SPI OND",0.44,"Marara","10","Severo","Poor"
"SPI NDJ",0.62,"Marara","10","Severo","Moderate"
"SPI DJF",0.63,"Marara","10","Severo","Moderate"
"SPI JFM",0.43,"Marara","10","Severo","Poor"
"SPI ON",0.24,"Marara","10","Moderado","Poor"
"SPI ND",0.59,"Marara","10","Moderado","Borderline"
"SPI DJ",0.82,"Marara","10","Moderado","Good"
"SPI JF",0.37,"Marara","10","Moderado","Poor"
"SPI FM",0.3,"Marara","10","Moderado","Poor"
"SPI OND",0.57,"Marara","10","Moderado","Borderline"
"SPI NDJ",0.71,"Marara","10","Moderado","Moderate"
"SPI DJF",0.74,"Marara","10","Moderado","Moderate"
"SPI JFM",0.41,"Marara","10","Moderado","Poor"
"SPI ON",0.32,"Marara","10","Leve","Poor"
"SPI ND",0.62,"Marara","10","Leve","Moderate"
"SPI DJ",0.77,"Marara","10","Leve","Moderate"
"SPI JF",0.4,"Marara","10","Leve","Poor"
"SPI FM",0.33,"Marara","10","Leve","Poor"
"SPI OND",0.58,"Marara","10","Leve","Borderline"
"SPI NDJ",0.63,"Marara","10","Leve","Moderate"
"SPI DJF",0.73,"Marara","10","Leve","Moderate"
"SPI JFM",0.55,"Marara","10","Leve","Borderline"
"SPI ND",0.24,"Marara","11","Severo","Poor"
"SPI DJ",0.79,"Marara","11","Severo","Moderate"
"SPI JF",0.49,"Marara","11","Severo","Poor"
"SPI FM",0.2,"Marara","11","Severo","Poor"
"SPI NDJ",0.86,"Marara","11","Severo","Good"
"SPI DJF",0.74,"Marara","11","Severo","Moderate"
"SPI JFM",0.47,"Marara","11","Severo","Poor"
"SPI ND",0.37,"Marara","11","Moderado","Poor"
"SPI DJ",0.81,"Marara","11","Moderado","Good"
"SPI JF",0.49,"Marara","11","Moderado","Poor"
"SPI FM",0.24,"Marara","11","Moderado","Poor"
"SPI NDJ",0.93,"Marara","11","Moderado","Good"
"SPI DJF",0.68,"Marara","11","Moderado","Moderate"
"SPI JFM",0.41,"Marara","11","Moderado","Poor"
"SPI ND",0.29,"Marara","11","Leve","Poor"
"SPI DJ",0.87,"Marara","11","Leve","Good"
"SPI JF",0.41,"Marara","11","Leve","Poor"
"SPI FM",0.39,"Marara","11","Leve","Poor"
"SPI NDJ",0.63,"Marara","11","Leve","Moderate"
"SPI DJF",0.63,"Marara","11","Leve","Moderate"
"SPI JFM",0.42,"Marara","11","Leve","Poor"
"SPI DJ",0.66,"Marara","12","Severo","Moderate"
"SPI JF",0.6,"Marara","12","Severo","Borderline"
"SPI FM",0.3,"Marara","12","Severo","Poor"
"SPI DJF",0.69,"Marara","12","Severo","Moderate"
"SPI JFM",0.62,"Marara","12","Severo","Moderate"
"SPI DJ",0.68,"Marara","12","Moderado","Moderate"
"SPI JF",0.68,"Marara","12","Moderado","Moderate"
"SPI FM",0.31,"Marara","12","Moderado","Poor"
"SPI DJF",0.72,"Marara","12","Moderado","Moderate"
"SPI JFM",0.69,"Marara","12","Moderado","Moderate"
"SPI DJ",0.61,"Marara","12","Leve","Moderate"
"SPI JF",0.63,"Marara","12","Leve","Moderate"
"SPI FM",0.38,"Marara","12","Leve","Poor"
"SPI DJF",0.67,"Marara","12","Leve","Moderate"
"SPI JFM",0.56,"Marara","12","Leve","Borderline"
"SPI JF",0.75,"Marara","01","Severo","Moderate"
"SPI FM",0.45,"Marara","01","Severo","Poor"
"SPI JFM",0.8,"Marara","01","Severo","Moderate"
"SPI JF",0.76,"Marara","01","Moderado","Moderate"
"SPI FM",0.39,"Marara","01","Moderado","Poor"
"SPI JFM",0.76,"Marara","01","Moderado","Moderate"
"SPI JF",0.58,"Marara","01","Leve","Borderline"
"SPI FM",0.47,"Marara","01","Leve","Poor"
"SPI JFM",0.59,"Marara","01","Leve","Borderline"
"SPI FM",0.72,"Marara","02","Severo","Moderate"
"SPI FM",0.71,"Marara","02","Moderado","Moderate"
"SPI FM",0.62,"Marara","02","Leve","Moderate"
